Obec{nazev='Roznov pod Radhostem', psc=7206, pocetZen=17376, pocetMuzu=18128, celkem=35504}
Obec{nazev='Praha 18', psc=1118, pocetZen=11224, pocetMuzu=11904, celkem=23128}
Obec{nazev='Dacice', psc=3104, pocetZen=9853, pocetMuzu=9821, celkem=19674}
Obec{nazev='Blatna', psc=3101, pocetZen=6703, pocetMuzu=6884, celkem=13587}
Obec{nazev='Podebrady', psc=2119, pocetZen=14451, pocetMuzu=15254, celkem=29705}
Obec{nazev='Varnsdorf', psc=4215, pocetZen=9977, pocetMuzu=10317, celkem=20294}
Obec{nazev='Dobris', psc=2107, pocetZen=10265, pocetMuzu=10484, celkem=20749}
Obec{nazev='Ceska Trebova', psc=5301, pocetZen=9142, pocetMuzu=9392, celkem=18534}
Obec{nazev='Hradec Kralove', psc=5205, pocetZen=68875, pocetMuzu=73529, celkem=142404}
Obec{nazev='Pohorelice', psc=6213, pocetZen=6545, pocetMuzu=6579, celkem=13124}
Obec{nazev='Ricany', psc=2122, pocetZen=27157, pocetMuzu=28533, celkem=55690}
Obec{nazev='Blansko', psc=6201, pocetZen=26723, pocetMuzu=27775, celkem=54498}
Obec{nazev='Kostelec nad Orlici', psc=5208, pocetZen=12130, pocetMuzu=12579, celkem=24709}
Obec{nazev='Sobeslav', psc=3110, pocetZen=10848, pocetMuzu=11160, celkem=22008}
Obec{nazev='Klatovy', psc=3205, pocetZen=24420, pocetMuzu=25305, celkem=49725}
Obec{nazev='Roudnice nad Labem', psc=4211, pocetZen=15541, pocetMuzu=15987, celkem=31528}
Obec{nazev='Novy Jicin', psc=8115, pocetZen=23695, pocetMuzu=24834, celkem=48529}
Obec{nazev='Plzen', psc=3209, pocetZen=84594, pocetMuzu=91044, celkem=175638}
Obec{nazev='Hranice', psc=7101, pocetZen=16924, pocetMuzu=17674, celkem=34598}
Obec{nazev='Jablonec nad Nisou', psc=5103, pocetZen=25980, pocetMuzu=27579, celkem=53559}
Obec{nazev='Praha 9', psc=1109, pocetZen=20816, pocetMuzu=23569, celkem=44385}
Obec{nazev='Tachov', psc=3215, pocetZen=17085, pocetMuzu=17190, celkem=34275}
Obec{nazev='Praha 8', psc=1108, pocetZen=49081, pocetMuzu=54407, celkem=103488}
Obec{nazev='Krnov', psc=8114, pocetZen=20775, pocetMuzu=21359, celkem=42134}
Obec{nazev='Holesov', psc=7202, pocetZen=10565, pocetMuzu=10985, celkem=21550}
Obec{nazev='Havlickuv Brod', psc=6102, pocetZen=25270, pocetMuzu=26069, celkem=51339}
Obec{nazev='Zelezny Brod', psc=5110, pocetZen=5886, pocetMuzu=6135, celkem=12021}
Obec{nazev='Strakonice', psc=3111, pocetZen=21929, pocetMuzu=22683, celkem=44612}
Obec{nazev='Opava', psc=8117, pocetZen=49726, pocetMuzu=52300, celkem=102026}
Obec{nazev='Otrokovice', psc=7205, pocetZen=16968, pocetMuzu=17682, celkem=34650}
Obec{nazev='Zamberk', psc=5315, pocetZen=14317, pocetMuzu=14344, celkem=28661}
Obec{nazev='Marianske Lazne', psc=4105, pocetZen=11634, pocetMuzu=12419, celkem=24053}
Obec{nazev='Olomouc', psc=7107, pocetZen=77317, pocetMuzu=83134, celkem=160451}
Obec{nazev='Ivancice', psc=6208, pocetZen=11631, pocetMuzu=11905, celkem=23536}
Obec{nazev='Stribro', psc=3213, pocetZen=8156, pocetMuzu=8301, celkem=16457}
Obec{nazev='Ceske Budejovice', psc=3102, pocetZen=74098, pocetMuzu=78580, celkem=152678}
Obec{nazev='Cheb', psc=4102, pocetZen=23220, pocetMuzu=24275, celkem=47495}
Obec{nazev='Vitkov', psc=8122, pocetZen=6997, pocetMuzu=6941, celkem=13938}
Obec{nazev='Bystrice nad Pernstejnem', psc=6101, pocetZen=10178, pocetMuzu=10153, celkem=20331}
Obec{nazev='Unicov', psc=7112, pocetZen=11232, pocetMuzu=11588, celkem=22820}
Obec{nazev='Tabor', psc=3112, pocetZen=39154, pocetMuzu=40803, celkem=79957}
Obec{nazev='Zabreh', psc=7113, pocetZen=16448, pocetMuzu=17239, celkem=33687}
Obec{nazev='Valasske Mezirici', psc=7210, pocetZen=20679, pocetMuzu=21403, celkem=42082}
Obec{nazev='Nova Paka', psc=5210, pocetZen=6545, pocetMuzu=6660, celkem=13205}
Obec{nazev='Chrudim', psc=5304, pocetZen=40487, pocetMuzu=41640, celkem=82127}
